direction,pulse_us,angle_deg,valid
U,773,22.061,1
U,774,22.061,1
U,775,22.061,1
U,776,22.148,1
U,777,22.324,1
U,778,22.412,1
U,779,22.324,1
U,780,22.500,1
U,781,22.764,1
U,782,22.852,1
U,783,22.764,1
U,784,22.764,1
U,785,22.764,1
U,786,22.939,1
U,787,23.203,1
U,788,23.291,1
U,789,23.291,1
U,790,23.379,1
U,791,23.643,1
U,792,23.818,1
U,793,23.730,1
U,794,23.730,1
U,795,23.994,1
U,796,24.170,1
U,797,24.258,1
U,798,24.258,1
U,799,24.258,1
U,800,24.521,1
U,801,24.697,1
U,802,24.697,1
U,803,24.785,1
U,804,24.873,1
U,805,24.873,1
U,806,24.873,1
U,807,24.961,1
U,808,25.049,1
U,809,25.312,1
U,810,25.488,1
U,811,25.664,1
U,812,25.752,1
U,813,25.840,1
U,814,25.752,1
U,815,25.840,1
U,816,25.840,1
U,817,25.840,1
U,818,25.840,1
U,819,25.928,1
U,820,26.191,1
U,821,26.455,1
U,822,26.543,1
U,823,26.543,1
U,824,26.719,1
U,825,26.807,1
U,826,26.719,1
U,827,26.719,1
U,828,26.719,1
U,829,26.895,1
U,830,27.158,1
U,831,27.422,1
U,832,27.422,1
U,833,27.510,1
U,834,27.598,1
U,835,27.598,1
U,836,27.598,1
U,837,27.686,1
U,838,27.861,1
U,839,28.037,1
U,840,28.125,1
U,841,28.125,1
U,842,28.213,1
U,843,28.389,1
U,844,28.301,1
U,845,28.389,1
U,846,28.564,1
U,847,28.740,1
U,848,28.828,1
U,849,28.828,1
U,850,28.916,1
U,851,28.916,1
U,852,28.916,1
U,853,29.180,1
U,854,29.443,1
U,855,29.619,1
U,856,29.531,1
U,857,29.531,1
U,858,29.795,1
U,859,30.059,1
U,860,30.322,1
U,861,30.498,1
U,862,30.498,1
U,863,30.498,1
U,864,30.498,1
U,865,30.498,1
U,866,30.586,1
U,867,30.762,1
U,868,30.937,1
U,869,31.025,1
U,870,31.025,1
U,871,31.025,1
U,872,31.025,1
U,873,31.113,1
U,874,31.289,1
U,875,31.201,1
U,876,31.377,1
U,877,31.641,1
U,878,31.816,1
U,879,31.729,1
U,880,31.729,1
U,881,31.729,1
U,882,31.816,1
U,883,32.080,1
U,884,32.344,1
U,885,32.520,1
U,886,32.520,1
U,887,32.520,1
U,888,32.432,1
U,889,32.432,1
U,890,32.432,1
U,891,32.607,1
U,892,32.783,1
U,893,32.959,1
U,894,33.135,1
U,895,33.398,1
U,896,33.398,1
U,897,33.398,1
U,898,33.398,1
U,899,33.398,1
U,900,33.398,1
U,901,33.398,1
U,902,33.398,1
U,903,33.574,1
