pulse_us,angle_deg,valid
1130,57.656,1
1129,57.568,1
1128,57.305,1
1127,57.129,1
1126,56.953,1
1125,56.953,1
1124,56.953,1
1123,56.953,1
1122,56.953,1
1121,56.953,1
1120,56.689,1
1119,56.514,1
1118,56.426,1
1117,56.514,1
1116,56.514,1
1115,56.338,1
1114,56.162,1
1113,56.074,1
1112,55.986,1
1111,55.986,1
1110,55.986,1
1109,55.898,1
1108,55.547,1
1107,55.283,1
1106,55.107,1
1105,54.844,1
1104,54.756,1
1103,54.756,1
1102,54.756,1
1101,54.668,1
1100,54.492,1
1099,54.580,1
1098,54.580,1
1097,54.492,1
1096,54.229,1
1095,53.965,1
1094,53.877,1
1093,53.789,1
1092,53.613,1
1091,53.437,1
1090,53.437,1
1089,53.437,1
1088,53.350,1
1087,53.262,1
1086,53.174,1
1085,53.174,1
1084,53.174,1
1083,52.998,1
1082,52.910,1
1081,52.822,1
1080,52.646,1
1079,52.383,1
1078,52.207,1
1077,52.119,1
1076,52.119,1
1075,52.119,1
1074,52.119,1
1073,52.119,1
1072,51.855,1
1071,51.592,1
1070,51.504,1
1069,51.504,1
1068,51.416,1
1067,51.240,1
1066,51.240,1
1065,51.240,1
1064,51.240,1
1063,51.152,1
1062,50.889,1
1061,50.801,1
1060,50.713,1
1059,50.625,1
1058,50.449,1
1057,50.449,1
1056,50.449,1
1055,50.537,1
1054,50.361,1
1053,50.010,1
1052,49.834,1
1051,49.746,1
1050,49.746,1
1049,49.570,1
1048,49.395,1
1047,49.307,1
1046,49.307,1
1045,49.307,1
1044,49.307,1
1043,49.307,1
1042,49.131,1
1041,48.867,1
1040,48.691,1
1039,48.604,1
1038,48.428,1
1037,48.340,1
1036,48.340,1
1035,48.340,1
1034,48.340,1
1033,48.252,1
1032,47.988,1
1031,47.812,1
1030,47.637,1
1029,47.637,1
1028,47.637,1
1027,47.637,1
1026,47.549,1
1025,47.461,1
1024,47.109,1
1023,46.934,1
1022,46.846,1
1021,46.758,1
1020,46.582,1
1019,46.406,1
1018,46.406,1
1017,46.406,1
1016,46.318,1
1015,46.143,1
1014,46.143,1
1013,46.143,1
1012,45.967,1
1011,45.879,1
1010,45.967,1
1009,45.967,1
1008,45.791,1
1007,45.615,1
1006,45.439,1
1005,45.439,1
1004,45.264,1
1003,45.088,1
1002,45.088,1
1001,45.000,1
1000,45.000,1
999,44.824,1
998,44.648,1
997,44.473,1
996,44.561,1
995,44.473,1
994,44.209,1
993,43.945,1
992,43.857,1
991,43.770,1
990,43.770,1
989,43.770,1
988,43.770,1
987,43.770,1
986,43.594,1
985,43.242,1
984,42.891,1
983,42.803,1
982,42.803,1
981,42.891,1
980,42.803,1
979,42.715,1
978,42.451,1
977,42.363,1
976,42.363,1
975,42.363,1
974,42.363,1
973,42.363,1
972,42.363,1
971,42.100,1
970,41.836,1
969,41.748,1
968,41.660,1
967,41.572,1
966,41.484,1
965,41.396,1
964,41.396,1
963,41.133,1
962,40.869,1
961,40.693,1
960,40.693,1
959,40.693,1
958,40.605,1
957,40.693,1
956,40.781,1
955,40.693,1
954,40.605,1
953,40.342,1
952,39.990,1
951,39.902,1
950,39.814,1
949,39.727,1
948,39.727,1
947,39.727,1
946,39.551,1
945,39.375,1
944,39.375,1
943,39.463,1
942,39.463,1
941,39.199,1
940,39.023,1
939,38.936,1
938,38.936,1
937,39.023,1
936,39.023,1
935,39.023,1
934,38.848,1
933,38.408,1
932,38.145,1
931,37.969,1
930,37.969,1
929,37.793,1
928,37.617,1
927,37.529,1
926,37.529,1
925,37.529,1
924,37.529,1
923,37.529,1
922,37.529,1
921,37.441,1
920,37.178,1
919,37.002,1
918,36.826,1
917,36.738,1
916,36.475,1
915,36.299,1
914,36.387,1
913,36.299,1
912,36.035,1
911,35.859,1
910,35.859,1
909,35.859,1
908,35.859,1
907,35.859,1
906,35.859,1
905,35.684,1
904,35.508,1
903,35.420,1
902,35.420,1
901,35.244,1
900,34.980,1
899,34.980,1
898,34.980,1
897,34.805,1
896,34.541,1
895,34.453,1
894,34.453,1
893,34.453,1
892,34.453,1
891,34.453,1
890,34.453,1
889,34.102,1
888,33.926,1
887,33.926,1
886,33.926,1
885,33.838,1
884,33.574,1
